Column1,Column2
커피빈 부산서면점,부산광역시 부산진구 서면로 62-1 에이스메디컬타워 1F
커피빈 해운대점,부산광역시 해운대구 해운대해변로 277 다옴빌딩
커피빈 부산수영역점,부산광역시 수영구 수영로 667
커피빈 부산정관점,"부산광역시 기장군 정관읍 정관로 563 111호, 202호"
커피빈 해운대센텀호텔점,부산광역시 해운대구 센텀3로 20 해운대센텀호텔 1F 101호
커피빈 롯데마트광복점,부산광역시 중구 중앙대로 2
레드빈커피,부산광역시 사하구 장림번영로 71
카페빈,부산광역시 기장군 철마면 여락송정로 326 카페빈
레드빈눈꽃빙수,부산광역시 수영구 수영로384번길 19 남천파크
레드빈,부산광역시 수영구 망미로22번길 52-2
카페빈,부산광역시 금정구 식물원로75번길 29
레드빈,부산광역시 동래구 충렬대로202번가길 1
코스모스 빈,부산광역시 동래구 명안로 72 1층
스노우빈,부산광역시 연제구 법원로32번길 18 나래타운빌딩
빈스토리 광복지하쇼핑센터점,부산광역시 중구 중앙대로 17 광복지하도상가
더치앤빈 동아대부민점,부산광역시 서구 구덕로 240
빈스톡,부산광역시 서구 암남공원로 56
인앤빈,부산광역시 중구 대청로 61-3
텐퍼센트커피 센텀트럼프점,부산광역시 해운대구 센텀동로 9 트럼프월드센텀아파트 126호
텐퍼센트커피 범일점,부산광역시 동구 조방로 14 동일타워 109호
텐퍼센트커피 금정구청점,부산광역시 금정구 중앙대로1793번길 60 1층 101호
텐퍼센트커피 수영구청점,부산광역시 수영구 남천동로 110 1F
텐퍼센트커피 온천장점,부산광역시 동래구 중앙대로 1523
텐퍼센트커피 명지국제신도시점,부산광역시 강서구 명지국제8로 258 1동 1층
플랫폼나인,부산광역시 해운대구 우동1로38번가길 9
텐퍼센트커피 해운대구청점,부산광역시 해운대구 중동2로 8 1층
텐퍼센트커피 연제이마트점,부산광역시 연제구 연수로 103 시청스마트W 상가 105호
텐퍼센트커피 남구청점,부산광역시 남구 못골로41번길 13 대연동원로얄듀크 205동 103호
빈티지,"부산광역시 중구 광복로67번길 16 1,2,3층 BEAN TG"
공간성,부산광역시 수영구 광안해변로307번길 36
벨라빈,부산광역시 동래구 반송로239번길 16
빈캣,부산광역시 금정구 수림로81번길 1
beank,부산광역시 수영구 광안해변로344번길 9-3 1층
빈센트,부산광역시 남구 유엔평화로66번길 47
빈스페커피숖,부산광역시 금정구 부산대학로64번안길 2 씨엘빌리지
블랙빈,부산광역시 수영구 광남로 78
잎새달,부산광역시 영도구 절영로 123 1층
빈앤빈,부산광역시 부산진구 가야대로498번길 16
마이빈,부산광역시 해운대구 반여로167번길 59
빈코리아,부산광역시 기장군 정관읍 양수1길 65
커피가사랑한남자로스팅컴퍼니,부산광역시 금정구 장전온천천로79번길 4
커피가사랑한남자원두숍,부산광역시 금정구 장전로12번길 14 1층
인앤빈,부산광역시 부산진구 전포대로300번길 22
동유모일본전문유학원 부산점,부산광역시 부산진구 중앙대로 698-1
투썸플레이스 서면중앙점,부산광역시 부산진구 중앙대로692번길 50
투썸플레이스 해운대장산역점,부산광역시 해운대구 양운로 56 해운대좌동에스케이허브올리브
투썸플레이스 부산송정힐스점,부산광역시 해운대구 송정광어골로 83 투썸플레이스
투썸플레이스 부산가덕도점,부산광역시 강서구 가덕해안로 590
투썸플레이스 부산화명수정점,부산광역시 북구 화명신도시로 4
투썸플레이스 부산벡스코점,부산광역시 해운대구 센텀3로 32 트럼프월드센텀2
투썸플레이스 부산남포점,부산광역시 중구 구덕로 40 호림빌딩 1층
투썸플레이스 부산백양대로점,부산광역시 사상구 백양대로 655
투썸플레이스 남산점,부산광역시 금정구 금샘로 562 오로라오일뱅크
투썸플레이스 부산송정점,부산광역시 해운대구 송정해변로 38-1
투썸플레이스서면일번가점,부산광역시 부산진구 중앙대로691번길 32
투썸플레이스 부산연산점,부산광역시 연제구 중앙대로 1094 금강빌딩
투썸플레이스부산사상점,부산광역시 사상구 사상로 213
투썸플레이스 동래CGV점,부산광역시 동래구 중앙대로 1523 SK허브스카이 6층 B6-2호 투썸플레이스
투썸플레이스 부산타워점,부산광역시 중구 용두산길 37-28 용두산공원
투썸플레이스 부산대정문점,부산광역시 금정구 금강로 260-2 1층
투썸플레이스 부산역점,부산광역시 동구 중앙대로 201 행운예식장
투썸플레이스 부산하단점,부산광역시 사하구 낙동대로 464 1층
투썸플레이스 부산초량점,부산광역시 동구 중앙대로 325
투썸플레이스 해운대달맞이2호점,부산광역시 해운대구 달맞이길117번가길 174
투썸플레이스 부산온천천점,부산광역시 동래구 온천천로 329
투썸플레이스 부산광안오션브릿지점,부산광역시 수영구 광안해변로278번길 42 오션브릿지
투썸플레이스 동아대,부산광역시 사하구 낙동대로 534
투썸플레이스 부산범일점,부산광역시 동구 범일로 102 성호빌딩 1층
투썸플레이스 신세계백화점 센텀시티점,부산광역시 해운대구 센텀남대로 35 7층
투썸플레이스 부산다대포점,부산광역시 사하구 다대로 708 1층
투썸플레이스 부산주례역점,부산광역시 사상구 가야대로 300
투썸플레이스 부산덕천점,부산광역시 북구 금곡대로 15
투썸플레이스 부산대연점,부산광역시 남구 수영로 286
투썸플레이스 부산반여점,부산광역시 해운대구 선수촌로 103-8 삼성 디지털 프라자
투썸플레이스 부산거제점,부산광역시 연제구 아시아드대로 101
투썸플레이스 부산시청점,부산광역시 연제구 시청로 6 부산 더샵 시티애비뉴
투썸플레이스 부산개금점,부산광역시 부산진구 가야대로 489
투썸플레이스 부산동래역점,부산광역시 동래구 명륜로129번길 26 2층
투썸플레이스 부산문현금융단지점,부산광역시 부산진구 중앙번영로 29
투썸플레이스 부산대저점,부산광역시 강서구 공항로811번가길 27-1
투썸플레이스 부산부전역점,부산광역시 부산진구 전포대로275번길 65
투썸플레이스 서면지오플레이스점,부산광역시 부산진구 동천로 4 지오플레이스
투썸플레이스 부산괴정점,부산광역시 사하구 낙동대로 219
투썸플레이스부산광안역점,부산광역시 수영구 수영로582번길 10
투썸플레이스 부산문현점,부산광역시 남구 전포대로 26
투썸플레이스 부산대연혁신점,부산광역시 남구 수영로325번길 26
투썸플레이스 송도해수욕장점,부산광역시 서구 송도해변로 117
투썸플레이스 해운대이비스점,부산광역시 해운대구 해운대해변로237번길 15
투썸플레이스 부산괘법점,부산광역시 사상구 새벽로 220
투썸플레이스 부산대학병원점,부산광역시 서구 구덕로185번길 24
투썸플레이스 부산정관점,부산광역시 기장군 정관읍 정관8로 14
투썸플레이스 센텀스카이비즈점,부산광역시 해운대구 센텀중앙로 97
투썸플레이스부산동서대점,부산광역시 사상구 냉정로 113
투썸플레이스부산만덕점,부산광역시 북구 덕천로 300
투썸플레이스 광안비치점,부산광역시 수영구 광안해변로 165 101호
투썸플레이스 부산법조타운점,부산광역시 연제구 법원남로15번길 17 대원빌딩
투썸플레이스 해운대수목원점,"부산광역시 해운대구 반송로 617 1,2층"
투썸플레이스 부산대한통운점,부산광역시 중구 대교로 119
투썸플레이스 다송로점,부산광역시 사하구 다송로84번길 38
투썸플레이스 고신대복음병원점,부산광역시 서구 감천로 255 청암빌딩 2층
투썸플레이스 센텀시티홈플러스점,부산광역시 해운대구 센텀동로 6 홈플러스센템시티점
투썸플레이스 부산동래롯데점,부산광역시 동래구 중앙대로1381번길 5
투썸플레이스 해운대부민병원점,부산광역시 해운대구 해운대로 584 해운대 부민병원
투썸플레이스 부산덕천메가박스점,부산광역시 북구 만덕대로 23
투썸플레이스 부산프리미엄아울렛점,부산광역시 기장군 장안읍 정관로 1133 부산프리미엄아울렛 2F 232
투썸플레이스 가덕해양파크휴게소점,부산광역시 강서구 거가대로 2571
투썸 부산아트몰링점,부산광역시 사하구 낙동남로 1414
이디야커피 부산동래역점,부산광역시 동래구 충렬대로181번길 36
이디야커피 부산온천장역점,부산광역시 동래구 온천장로119번길 7
이디야커피 부산하단역점,부산광역시 사하구 낙동남로 1418
이디야커피 부산부경대후문점,부산광역시 남구 수영로358번길 12 세봉한의원
이디야커피 부산화명점,부산광역시 북구 금곡대로285번길 22 월드타워
이디야커피 부산대역점,부산광역시 금정구 금정로68번길 10
이디야커피 부산광안역점,부산광역시 수영구 수영로588번길 7
이디야 남산역점,부산광역시 금정구 남산로 3
이디야 구포점,부산광역시 북구 구포만세길 115 효산벨루스
이디야커피 부산괴정대로점,부산광역시 사하구 낙동대로 246 화원레상스아파트
이디야커피 정관중앙점,부산광역시 기장군 정관읍 정관로 579
이디야커피 부산대정문점,부산광역시 금정구 금강로 265
이디야커피 부산서면1번가점,부산광역시 부산진구 서면로68번길 14
이디야 부산역광장점,부산광역시 동구 중앙대로180번길 6-1
이디야 부산대북문점,부산광역시 금정구 금강로321번길 45
이디야커피 부산정관점,부산광역시 기장군 정관읍 정관로 383
이디야커피 부산서면파고다점,부산광역시 부산진구 중앙대로 679
이디야 부산용호사거리점,부산광역시 남구 용호로 154 용호메디칼센타
이디야 연산대로점,부산광역시 연제구 월드컵대로 166
이디야커피 부산덕천중앙점,부산광역시 북구 덕천2길 11
이디야 부산부전도서관점,부산광역시 부산진구 동천로 69
이디야커피 부산두실역점,부산광역시 금정구 중앙대로 1911
이디야커피동의대중앙점,부산광역시 부산진구 엄광로 184
이디야커피 부산초량역점,부산광역시 동구 중앙대로274번길 7-3
이디야커피 부산광복로점,부산광역시 중구 구덕로22번길 8-1
이디야커피 부산명지점,부산광역시 강서구 명지오션시티8로16번길 25
이디야커피 부산서면롯데후문점,부산광역시 부산진구 부전로66번길 22
이디야커피 부산범내골역점,부산광역시 부산진구 범일로 184 서영주유소
이디야커피 부산괘법동점,부산광역시 사상구 사상로 239 동원약국
이디야커피 부산송정점,부산광역시 해운대구 송정해변로 10
이디야커피명지초교점,부산광역시 강서구 명지국제6로 306
이디야커피 부산반여중앙점,부산광역시 해운대구 선수촌로 74-11
이디야커피 부산가야동의대점,부산광역시 부산진구 가야대로 590-1
이디야 구서역점,부산광역시 금정구 구서로 2
이디야커피 재송동점,부산광역시 해운대구 재반로 176
이디야커피 부산연제초교점,부산광역시 연제구 중앙대로1075번길 8
이디야커피 부산명륜역점,부산광역시 동래구 온천장로 11 관성빌딩
이디야커피 부산부전동점,부산광역시 부산진구 서전로 17 진성빌딩
이디야 부산장산역점,부산광역시 해운대구 세실로 48 해운대삼정코아주상복합
이디야커피 개금펜테리움점,부산광역시 부산진구 가야대로 450
이디야 부산비치그린점,부산광역시 수영구 광일로 49 비치그린아파트
이디야커피 부산대연동점,부산광역시 남구 수영로 202 레드페이스
이디야커피 부산시청역점,부산광역시 연제구 중앙대로 1042
이디야부산역점,부산광역시 동구 중앙대로 233
이디야 아시아드점,부산광역시 연제구 종합운동장로 28 청안빌딩 1층
이디야 광안비치점,부산광역시 수영구 남천바다로 40
이디야커피 부산명장점,부산광역시 동래구 시실로 208-1 해뜨는집
이디야커피 부산양정역점,부산광역시 부산진구 연수로 18-1 유한빌딩
이디야커피 부산개금동점,부산광역시 부산진구 가야대로 479
이디야커피 신평역점,부산광역시 사하구 하신중앙로 182
이디야커피 부산진역점,부산광역시 동구 중앙대로371번길 9
이디야커피 부산덕천동점,부산광역시 북구 만덕대로15번길 9
이디야 부산사직야구장점,부산광역시 동래구 사직로 48
이디야 부산장전역점,부산광역시 금정구 중앙대로1719번길 23 우남빌딩
이디야 부산양정동점,부산광역시 부산진구 중앙대로 899
이디야커피 부산서면제일점,부산광역시 부산진구 서전로10번길 36
이디야커피 부산영도대교동점,부산광역시 영도구 태종로 104 일공구일공사
이디야커피 부산당리역점,부산광역시 사하구 낙동대로 412
이디야커피 부산수영로점,부산광역시 수영구 수영로 628
이디야커피 부산하단동점,부산광역시 사하구 낙동대로 486-1
이디야커피 센텀퍼스트점,부산광역시 해운대구 센텀중앙로 60 퍼스트인센텀 102호
이디야광복중앙점,부산광역시 중구 남포길 19-1
이디야커피 영도동삼동점,부산광역시 영도구 중리로 46-8
이디야커피 송도암남공원점,부산광역시 서구 암남공원로 179-13
이디야 신라대점,부산광역시 사상구 백양대로700번길 140
이디야커피 부산낙민동점,부산광역시 동래구 안남로 32 A동 3호
이디야커피 부산벡스코역점,부산광역시 해운대구 해운대로383번길 5
이디야 양운사거리점,부산광역시 해운대구 좌동순환로 79 케이티링커스 1층
이디야커피 부산시민공원점,부산광역시 부산진구 새싹로 83-1
이디야커피 부산신호동점,부산광역시 강서구 신호산단5로 42
이디야커피 부산기장시장점,부산광역시 기장군 기장읍 차성로288번길 50
이디야커피 부산토곡점,부산광역시 연제구 과정로 148
이디야커피 부산남구청점,부산광역시 남구 진남로 118
이디야 부산역현대점,부산광역시 동구 중앙대로226번길 3-7
이디야 동래내성점,부산광역시 동래구 여고북로 192 장안빌딩
이디야커피 부산지오플레이스점,부산광역시 부산진구 동천로 4 지오플레이스
이디야커피 부산대연황령점,부산광역시 남구 황령대로319번가길 158-7 성문학원
이디야 부산덕포역점,부산광역시 사상구 사상로 313
이디야 부산거제홈타운점,부산광역시 연제구 법원북로 45 조선빌딩
이디야커피 부산문현현대점,부산광역시 남구 문현로 68
이디야커피 부산청룡점,부산광역시 금정구 청룡로 68 1층
이디야 정관달산점,부산광역시 기장군 정관읍 달산2길 30
이디야 부산대연평화점,부산광역시 남구 유엔평화로 31 1층
이디야커피 부산범어사역점,부산광역시 금정구 중앙대로 2120 협성엠파이어
이디야커피 부산시청점,부산광역시 연제구 시청로 34
이디야커피 부산전포점,부산광역시 부산진구 중앙대로 786
이디야커피 부산부평점,부산광역시 중구 광복로 10-2
이디야커피 부산엄궁동점,부산광역시 사상구 낙동대로 784-13 휴그린아파트
이디야커피 부산중앙동점,부산광역시 중구 충장대로9번길 20
이디야커피 부산개금백병원점,부산광역시 부산진구 복지로 66
이디야커피 부산문현동점,부산광역시 남구 수영로 46
이디야커피 부산안락뜨란채점,부산광역시 동래구 연안로 59
이디야 해운대중앙점,부산광역시 해운대구 중동1로 23 1층
이디야부산사상경전철역점,부산광역시 사상구 광장로 83
이디야커피 부산온천천점,부산광역시 동래구 온천천로 469
이디야커피 부산하단가락타운점,부산광역시 사하구 동매로 23
이디야커피 부산자갈치역점,부산광역시 중구 자갈치로47번길 6-1
이디야 부산장림세정아울렛점,부산광역시 사하구 다대로 207 세정아울렛
이디야커피 부산광안리점,부산광역시 수영구 광남로 152
이디야커피 부산구서SK점,부산광역시 금정구 금강로403번길 1
이디야커피 부산법원점,부산광역시 연제구 법원로32번길 9 고려빌딩
이디야 명륜중앙점,부산광역시 금정구 부곡로 3
이디야 부산미남역점,부산광역시 동래구 아시아드대로 223
이디야커피 부산남천동점,부산광역시 수영구 황령대로489번길 11
이디야부경대후문점,부산광역시 남구 수영로358번길 12
이디야커피 부산수영강변점,부산광역시 수영구 광안해변로 446 104-109
이디야커피 부산주례역점,부산광역시 사상구 가야대로 278-1
이디야커피 부산반송도서관점,부산광역시 해운대구 아랫반송로 25 샬롬안경
이디야커피 부산명장e편한세상점,부산광역시 동래구 명장로 56
이디야 정관가동점,부산광역시 기장군 정관읍 용수리 1291-1 1층
이디야커피 부산동아대병원점,부산광역시 서구 동대로 22
이디야커피 부산효림초교점,부산광역시 사하구 장평로 107
이디야커피 부산용호동점,부산광역시 남구 용호로 34 일신프리빌리지
이디야커피 해운대구청점,부산광역시 해운대구 중동2로 5
이디야커피만덕동점,부산광역시 북구 덕천로 241
이디야 금정세무서점,부산광역시 금정구 부곡로141번길 1
이디야커피 부산학장동점,부산광역시 사상구 대동로 132 청파아파트
이디야커피 초량육거리점,부산광역시 동구 초량로 37
이디야커피 부산과학기술대점,부산광역시 북구 시랑로132번길 73
이디야 부산KBS삼거리점,부산광역시 수영구 광남로 16
이디야커피 율리점,부산광역시 북구 학사로 295
이디야커피부산서대신역점,부산광역시 서구 대티로 175-1
이디야커피부산금강로점,부산광역시 동래구 금강공원로20번길 8
이디야커피 부산해운대우동점,부산광역시 해운대구 우동1로 82 김밥코리아
이디야커피 부산장림점,부산광역시 사하구 장림번영로 39-1
이디야 부산당감동점,부산광역시 부산진구 동평로 96
이디야커피 부산해운대스위첸점,부산광역시 해운대구 좌동 1471
이디야커피 부산지사명진파크뷰점,부산광역시 강서구 과학산단2로20번길 11 명진파크뷰
이디야커피 부산양정현대점,부산광역시 부산진구 동평로 362
이디야커피 부산하단가락1단지점,부산광역시 사하구 하신번영로 320
이디야커피 부산시민회관점,부산광역시 동구 조방로16번길 20 삼익복합상가빌딩
이디야커피 부산좌동점,부산광역시 해운대구 좌동순환로 307-1 한창프라자
이디야커피 부산재송중앙점,부산광역시 해운대구 재반로 79
이디야커피 부산방통대점,부산광역시 북구 학사로17번길 4 대영주차건물
이디야 부산충무동점,부산광역시 서구 충무대로 277 에코펠리스 2차 101호
이디야 좌동중앙점,부산광역시 해운대구 대천로103번길 61 엘지아파트
이디야커피부산강서구청점,부산광역시 강서구 대저로 270
이디야커피 부산구서중앙점,부산광역시 금정구 금샘로 373
이디야커피 부산안락중앙점,부산광역시 동래구 충렬대로 413 1층
이디야커피 부산동래봉생병원점,부산광역시 동래구 충렬대로350번길 16
이디야커피 부산정관가화점,부산광역시 기장군 정관읍 정관로 702
이디야커피 명지너울공원점,부산광역시 강서구 명지국제6로232번길 20
이디야커피 감천점,부산광역시 사하구 감천로 46
이디야커피 다대포점,부산광역시 사하구 다대로 682
이디야커피부산신만덕점,부산광역시 북구 덕천로 299
이디야커피 남산중앙점,부산광역시 금정구 금강로 694
이디야 부산토곡한양점,부산광역시 연제구 과정로225번길 5
이디야커피 부산경동파크점,부산광역시 부산진구 새싹로 30 경동파크타워
이디야 금곡동점,부산광역시 북구 효열로 214-1
이디야커피 연지자이점,부산광역시 부산진구 새싹로 178 초연빌딩
이디야커피 부산장전서희점,부산광역시 금정구 수림로20번길 27
이디야커피 부산수안동점,부산광역시 동래구 충렬대로202번길 15 1층
이디야 모라동점,부산광역시 사상구 백양대로 921
이디야 부산종합운동장역점,부산광역시 연제구 아시아드대로82번길 5 1층
이디야커피 부산물만골역점,부산광역시 연제구 월드컵대로 19
이디야 부산수영현대점,부산광역시 수영구 구락로10번길 23
이디야커피 부산송도해상케이블카점,부산광역시 서구 송도해변로 171 3층
이디야커피 부산구포사거리점,부산광역시 북구 백양대로 1065
이디야커피 중동역점,부산광역시 해운대구 좌동로10번길 31
이디야커피 부산거제메르디앙점,부산광역시 연제구 세병로 80
이디야 안락교차로점,부산광역시 동래구 충렬대로 353
이디야커피 부산다대삼환점,부산광역시 사하구 다대로429번길 23
이디야커피 동래고교점,부산광역시 동래구 충렬대로 276 (낙민동)
이디야커피 부산구포도서관점,부산광역시 북구 백양대로1016번길 28 삼정골드빌라
이디야커피 연제이마트점,부산광역시 연제구 연수로 89 신세계연제점E마트
이디야커피 부산사직아동병원점,부산광역시 동래구 아시아드대로 186
이디야커피 부산용궁사점,부산광역시 기장군 기장읍 용궁길 68 토담마루
이디야커피 부산교대점,부산광역시 연제구 교대로 14
이디야커피 부산반송동점,부산광역시 해운대구 신반송로 179 빠리팡스제과점
이디야 동서대점,부산광역시 사상구 가야대로366번길 19
이디야커피 부산동광동점,부산광역시 중구 해관로 14
이디야커피 공항덕두점,부산광역시 강서구 공항로811번길 38
이디야커피 부산센텀재송점,부산광역시 해운대구 해운대로76번길 44
이디야커피 부산대티역점,부산광역시 사하구 낙동대로 158
이디야커피 부산영도태종로점,부산광역시 영도구 태종로 64-1
이디야커피 부산고신대병원점,부산광역시 서구 감천로 247
이디야커피 부산유엔공원점,부산광역시 남구 유엔로 202
이디야커피 부산명륜초교점,부산광역시 동래구 충렬대로237번길 143 1층
이디야커피서부산유통지구점,부산광역시 강서구 유통단지1로 53
이디야커피 부산구덕로점,부산광역시 서구 구덕로 336-2
이디야 용호성모점,부산광역시 남구 용호로 229
이디야 동래럭키점,부산광역시 동래구 중앙대로1333번길 20-15
이디야커피 부산연산더샵파크점,부산광역시 연제구 신금로 17-1
이디야커피 부산주례중앙점,부산광역시 사상구 백양대로 500 샹떼PC방
이디야커피 부산동의과학대점,부산광역시 부산진구 양지로 54 동의과학대학
이디야커피 부산초읍점,부산광역시 부산진구 성지로 104
이디야커피 부산복천점,부산광역시 동래구 복천로 8
이디야커피 부산명지퀸덤점,부산광역시 강서구 명지오션시티10로 16
이디야커피 부산중앙역점,부산광역시 중구 해관로 66-1
이디야커피 동부산롯데몰점,"부산광역시 기장군 기장읍 기장해안로 147 , 3층"
이디야 부암점,"부산광역시 부산진구 신천대로183번길 24-1 1층,2층"
이디야커피 부산해운대홈플러스점,부산광역시 해운대구 해운대해변로 140
이디야커피 사상이마트점,부산광역시 사상구 광장로 17 이마트
이디야커피 부산가야홈플러스점,부산광역시 부산진구 가야대로 506
이디야커피 동의대국제관점,부산광역시 부산진구 엄광로 176
이디야커피 큰솔2병원점,부산광역시 사상구 학장로 189
이디야커피 부산연산홈플러스점,부산광역시 연제구 반송로 88
이디야커피 부산부경대점,부산광역시 남구 용소로 30 1층
이디야커피 부산동명대점,부산광역시 남구 신선로 428
이디야커피 국제물류점,부산광역시 강서구 범방3로46번길 5
이디야커피 이디야문현점,부산광역시 남구 수영로 46
이디야커피 부산국제금융센터점,부산광역시 남구 문현금융로 40 상가동 127호
이디야커피 부산다대동점,부산광역시 사하구 다대로 544
할리스커피 부산서면본점,부산광역시 부산진구 동천로 73 디에스타워
할리스커피 부산덕천점,부산광역시 북구 덕천1길 21
